account_id,Day,Month,Year,amount_trans,balance,k_symbol,operation,type_trans,status
1787,22,03,93,1100.0,1100.0,None,VKLAD,PRIJEM,B
1787,21,04,93,9900.0,11000.0,None,VKLAD,PRIJEM,B
1787,21,05,93,5800.0,16800.0,None,VKLAD,PRIJEM,B
1787,20,06,93,3300.0,20100.0,None,VKLAD,PRIJEM,B
1801,13,02,93,700.0,700.0,None,VKLAD,PRIJEM,A
1801,28,02,93,2.9,702.9,UROK,None,PRIJEM,A
1801,28,02,93,18972.0,19674.9,None,VKLAD,PRIJEM,A
1801,15,03,93,3700.0,23374.9,None,VKLAD,PRIJEM,A
1801,16,03,93,8368.0,31742.9,None,VKLAD,PRIJEM,A
1801,20,03,93,36574.0,68316.9,None,VKLAD,PRIJEM,A
1801,31,03,93,166.9,68483.8,UROK,None,PRIJEM,A
1801,07,04,93,20562.0,89045.8,None,VKLAD,PRIJEM,A
1801,13,04,93,31467.0,120512.8,None,VKLAD,PRIJEM,A
1801,13,04,93,54300.0,66212.8,None,VYBER,VYDAJ,A
1801,14,04,93,22800.0,43412.8,None,VYBER,VYDAJ,A
1801,24,04,93,5630.0,49042.8,None,VKLAD,PRIJEM,A
1801,28,04,93,28095.0,77137.8,None,VKLAD,PRIJEM,A
1801,30,04,93,242.0,77379.8,UROK,None,PRIJEM,A
1801,30,04,93,5669.0,71710.8,None,VYBER,VYBER,A
1801,30,04,93,14.6,71696.2,SLUZBY,VYBER,VYDAJ,A
1801,05,05,93,956.0,70740.2,POJISTNE,PREVOD NA UCET,VYDAJ,A
1801,06,05,93,35707.0,106447.2,None,VKLAD,PRIJEM,A
1801,09,05,93,3419.0,103028.2, ,PREVOD NA UCET,VYDAJ,A
1801,12,05,93,4167.0,98861.2,SIPO,PREVOD NA UCET,VYDAJ,A
1801,14,05,93,37100.0,61761.2,None,VYBER,VYDAJ,A
1801,25,05,93,5700.0,56061.2,None,VYBER,VYDAJ,A
1801,31,05,93,303.4,56364.6,UROK,None,PRIJEM,A
1801,31,05,93,14.6,56350.0,SLUZBY,VYBER,VYDAJ,A
1801,03,06,93,8013.0,48337.0,None,VYBER,VYBER,A
1801,04,06,93,15900.0,32437.0,None,VYBER,VYDAJ,A
1801,05,06,93,956.0,31481.0,POJISTNE,PREVOD NA UCET,VYDAJ,A
1801,09,06,93,3419.0,28062.0, ,PREVOD NA UCET,VYDAJ,A
1801,12,06,93,4167.0,23895.0,SIPO,PREVOD NA UCET,VYDAJ,A
1801,13,06,93,100.0,23795.0,None,VYBER,VYDAJ,A
1801,23,06,93,10105.0,33900.0,None,VKLAD,PRIJEM,A
1801,27,06,93,6600.0,27300.0,None,VYBER,VYDAJ,A
1801,30,06,93,127.5,27427.5,UROK,None,PRIJEM,A
1801,30,06,93,14.6,27412.9,SLUZBY,VYBER,VYDAJ,A
1801,05,07,93,956.0,26456.9,POJISTNE,PREVOD NA UCET,VYDAJ,A
1801,07,07,93,29171.0,55627.9,None,VKLAD,PRIJEM,A
1801,09,07,93,3419.0,52208.9, ,PREVOD NA UCET,VYDAJ,A
9188,08,02,93,800.0,800.0,None,VKLAD,PRIJEM,A
9188,07,03,93,12710.0,13510.0,None,PREVOD Z UCTU,PRIJEM,A
9188,10,03,93,3700.0,17210.0,None,VKLAD,PRIJEM,A
9188,31,03,93,48.6,17258.6,UROK,None,PRIJEM,A
9188,31,03,93,50.9,17309.5,UROK,None,PRIJEM,A
9188,07,04,93,12710.0,30019.5,None,PREVOD Z UCTU,PRIJEM,A
9188,09,04,93,2400.0,27619.5,None,VYBER,VYDAJ,A
9188,30,04,93,80.4,27699.9,UROK,None,PRIJEM,A
9188,30,04,93,103.4,27803.2,UROK,None,PRIJEM,A
9188,07,05,93,12710.0,40513.2,None,PREVOD Z UCTU,PRIJEM,A
9188,09,05,93,10200.0,30313.2,None,VYBER,VYDAJ,A
9188,31,05,93,89.3,30402.5,UROK,None,PRIJEM,A
9188,31,05,93,123.0,30525.4,UROK,None,PRIJEM,A
9188,07,06,93,19065.0,49590.4,None,PREVOD Z UCTU,PRIJEM,A
9188,08,06,93,14800.0,34790.4,None,VYBER,VYDAJ,A
9188,30,06,93,105.6,35035.8,UROK,None,PRIJEM,A
9188,30,06,93,139.8,34930.2,UROK,None,PRIJEM,A
9188,07,07,93,7936.0,39743.8,SIPO,PREVOD NA UCET,VYDAJ,A
9188,07,07,93,12710.0,47745.8,None,PREVOD Z UCTU,PRIJEM,A
9188,07,07,93,66.0,47679.8,POJISTNE,PREVOD NA UCET,VYDAJ,A
9188,08,07,93,5300.0,34443.8,None,VYBER,VYDAJ,A
9188,09,07,93,471.0,33972.8, ,PREVOD NA UCET,VYDAJ,A
9188,12,07,93,1700.0,32272.8,None,VYBER,VYDAJ,A
9188,21,07,93,12000.0,20272.8,None,VYBER,VYDAJ,A
1843,30,01,93,1000.0,1000.0,None,VKLAD,PRIJEM,A
1843,07,02,93,17632.0,18632.0,None,PREVOD Z UCTU,PRIJEM,A
1843,01,03,93,3900.0,22532.0,None,VKLAD,PRIJEM,A
1843,07,03,93,17632.0,40164.0,None,PREVOD Z UCTU,PRIJEM,A
1843,31,03,93,133.8,40297.8,UROK,None,PRIJEM,A
1843,31,03,93,8600.0,31697.8,None,VYBER,VYDAJ,A
1843,07,04,93,17632.0,49329.8,None,PREVOD Z UCTU,PRIJEM,A
1843,30,04,93,132.8,49462.7,UROK,None,PRIJEM,A
1843,30,04,93,12200.0,37262.7,None,VYBER,VYDAJ,A
1843,07,05,93,17632.0,54894.7,None,PREVOD Z UCTU,PRIJEM,A
1843,30,05,93,15600.0,39294.7,None,VYBER,VYDAJ,A
1843,31,05,93,155.8,39450.5,UROK,None,PRIJEM,A
1843,07,06,93,26448.0,65898.5,None,PREVOD Z UCTU,PRIJEM,A
1843,11,06,93,2800.0,63098.5,None,VYBER,VYDAJ,A
1843,13,06,93,6994.0,56104.5,SIPO,PREVOD NA UCET,VYDAJ,A
1843,21,06,93,5700.0,50404.5,None,VYBER,VYDAJ,A
1843,29,06,93,11300.0,39104.5,None,VYBER,VYDAJ,A
1843,30,06,93,201.3,39305.8,UROK,None,PRIJEM,A
1843,30,06,93,14.6,39291.2,SLUZBY,VYBER,VYDAJ,A
1843,07,07,93,17632.0,56923.2,None,PREVOD Z UCTU,PRIJEM,A
1843,13,07,93,6994.0,49929.2,SIPO,PREVOD NA UCET,VYDAJ,A
1843,18,07,93,4300.0,45629.2,None,VYBER,VYDAJ,A
1843,29,07,93,11500.0,34129.2,None,VYBER,VYDAJ,A
1843,31,07,93,178.1,34307.3,UROK,None,PRIJEM,A
1843,31,07,93,14.6,34292.7,SLUZBY,VYBER,VYDAJ,A
11013,14,02,93,600.0,600.0,None,VKLAD,PRIJEM,A
11013,13,03,93,42244.0,42844.0,None,PREVOD Z UCTU,PRIJEM,A
11013,16,03,93,7000.0,35844.0,None,VYBER,VYDAJ,A
11013,31,03,93,77.1,35921.1,UROK,None,PRIJEM,A
11013,13,04,93,42244.0,78165.1,None,PREVOD Z UCTU,PRIJEM,A
11013,15,04,93,26300.0,51865.1,None,VYBER,VYDAJ,A
11013,30,04,93,185.0,52050.0,UROK,None,PRIJEM,A
11013,13,05,93,42244.0,94294.0,None,PREVOD Z UCTU,PRIJEM,A
11013,15,05,93,35000.0,59294.0,None,VYBER,VYDAJ,A
11013,31,05,93,233.1,59527.1,UROK,None,PRIJEM,A
11013,13,06,93,30000.0,92893.1,None,VYBER,VYDAJ,A
11013,13,06,93,63366.0,122893.1,None,PREVOD Z UCTU,PRIJEM,A
11013,14,06,93,32300.0,60593.1,None,VYBER,VYDAJ,A
11013,30,06,93,254.8,60847.9,UROK,None,PRIJEM,A
11013,13,07,93,42244.0,103091.9,None,PREVOD Z UCTU,PRIJEM,A
11013,13,07,93,36700.0,66391.9,None,VYBER,VYDAJ,A
11013,14,07,93,9499.0,41992.9, ,PREVOD NA UCET,VYDAJ,A
11013,14,07,93,14900.0,51491.9,None,VYBER,VYDAJ,A
11013,31,07,93,30.0,42171.1,SLUZBY,VYBER,VYDAJ,A
11013,31,07,93,208.3,42201.1,UROK,None,PRIJEM,A
11013,10,08,93,756.0,41415.1,SIPO,PREVOD NA UCET,VYDAJ,A
11013,13,08,93,28500.0,55159.1,None,VYBER,VYDAJ,A
11013,13,08,93,42244.0,83659.1,None,PREVOD Z UCTU,PRIJEM,A
11013,14,08,93,9499.0,45660.1, ,PREVOD NA UCET,VYDAJ,A
11013,21,08,93,4700.0,40960.1,None,VYBER,VYDAJ,A
11013,31,08,93,30.0,41112.9,SLUZBY,VYBER,VYDAJ,A
11013,31,08,93,182.8,41142.9,UROK,None,PRIJEM,A
8261,12,05,93,500.0,500.0,None,VKLAD,PRIJEM,A
8261,14,05,93,21959.0,22459.0,None,PREVOD Z UCTU,PRIJEM,A
8261,31,05,93,51.3,22510.3,UROK,None,PRIJEM,A
8261,31,05,93,54.3,22564.6,UROK,None,PRIJEM,A
8261,11,06,93,2100.0,24664.6,None,VKLAD,PRIJEM,A
8261,14,06,93,32938.0,57602.6,None,PREVOD Z UCTU,PRIJEM,A
8261,30,06,93,127.9,57907.0,UROK,None,PRIJEM,A
8261,30,06,93,176.4,57779.1,UROK,None,PRIJEM,A
8261,11,07,93,15200.0,42707.0,None,VYBER,VYDAJ,A
8261,14,07,93,21959.0,64666.0,None,PREVOD Z UCTU,PRIJEM,A
8261,31,07,93,147.3,64813.3,UROK,None,PRIJEM,A
8261,31,07,93,256.6,65069.9,UROK,None,PRIJEM,A
8261,10,08,93,21600.0,43469.9,None,VYBER,VYDAJ,A
8261,14,08,93,21959.0,65428.9,None,PREVOD Z UCTU,PRIJEM,A
8261,31,08,93,148.8,65577.6,UROK,None,PRIJEM,A
8261,31,08,93,270.2,65847.8,UROK,None,PRIJEM,A
8261,09,09,93,22000.0,43847.8,None,VYBER,VYDAJ,A
11265,14,01,93,1000.0,1000.0,None,VKLAD,PRIJEM,A
11265,05,02,93,7618.0,8618.0,None,VKLAD,PRIJEM,A
11265,13,02,93,9800.0,18418.0,None,VKLAD,PRIJEM,A
11265,28,02,93,43.9,18461.8,UROK,None,PRIJEM,A
11265,05,03,93,7618.0,26079.8,None,VKLAD,PRIJEM,A
11265,15,03,93,800.0,25279.8,None,VYBER,VYDAJ,A
11265,31,03,93,92.4,25372.3,UROK,None,PRIJEM,A
11265,05,04,93,7618.0,32990.3,None,VKLAD,PRIJEM,A
11265,14,04,93,4800.0,28190.3,None,VYBER,VYDAJ,A
11265,30,04,93,112.2,28302.5,UROK,None,PRIJEM,A
11265,05,05,93,7618.0,35920.5,None,VKLAD,PRIJEM,A
11265,14,05,93,6000.0,29920.5,None,VYBER,VYDAJ,A
11265,31,05,93,121.6,30042.1,UROK,None,PRIJEM,A
11265,05,06,93,11427.0,41469.1,None,VKLAD,PRIJEM,A
11265,09,06,93,17920.0,23549.1,None,VYBER,VYDAJ,A
11265,09,06,93,2607.0,20942.1, ,PREVOD NA UCET,VYDAJ,A
11265,10,06,93,506.0,20436.1,SIPO,PREVOD NA UCET,VYDAJ,A
11265,13,06,93,3700.0,24136.1,None,VKLAD,PRIJEM,A
11265,17,06,93,5000.0,19136.1,None,VYBER,VYDAJ,A
11265,30,06,93,14.6,19216.8,SLUZBY,VYBER,VYDAJ,A
11265,30,06,93,95.3,19231.4,UROK,None,PRIJEM,A
11265,02,07,93,4500.0,14716.8,None,VYBER,VYDAJ,A
11265,05,07,93,7618.0,22334.8,None,VKLAD,PRIJEM,A
11265,09,07,93,2607.0,19727.8, ,PREVOD NA UCET,VYDAJ,A
11265,10,07,93,506.0,19221.8,SIPO,PREVOD NA UCET,VYDAJ,A
11265,13,07,93,3300.0,22521.8,None,VKLAD,PRIJEM,A
11265,23,07,93,3480.0,19041.8,None,VYBER,VYDAJ,A
11265,25,07,93,840.0,18201.8,None,VYBER,VYDAJ,A
11265,31,07,93,14.6,18272.4,SLUZBY,VYBER,VYDAJ,A
11265,31,07,93,85.2,18287.0,UROK,None,PRIJEM,A
11265,05,08,93,7618.0,25890.4,None,VKLAD,PRIJEM,A
11265,09,08,93,2607.0,23283.4, ,PREVOD NA UCET,VYDAJ,A
11265,10,08,93,506.0,22777.4,SIPO,PREVOD NA UCET,VYDAJ,A
11265,12,08,93,5300.0,28077.4,None,VKLAD,PRIJEM,A
11265,14,08,93,5520.0,22557.4,None,VYBER,VYDAJ,A
11265,15,08,93,4300.0,18257.4,None,VYBER,VYDAJ,A
11265,31,08,93,14.6,18324.0,SLUZBY,VYBER,VYDAJ,A
11265,31,08,93,81.2,18338.6,UROK,None,PRIJEM,A
11265,05,09,93,7618.0,25942.0,None,VKLAD,PRIJEM,A
11265,07,09,93,3700.0,22242.0,None,VYBER,VYDAJ,A
11265,09,09,93,2607.0,19635.0, ,PREVOD NA UCET,VYDAJ,A
11265,10,09,93,506.0,19129.0,SIPO,PREVOD NA UCET,VYDAJ,A
11265,11,09,93,1900.0,21029.0,None,VKLAD,PRIJEM,A
5428,14,04,93,1000.0,1000.0,None,VKLAD,PRIJEM,B
5428,18,04,93,35931.0,36931.0,None,VKLAD,PRIJEM,B
5428,19,04,93,47436.0,84367.0,None,VKLAD,PRIJEM,B
5428,30,04,93,145.7,84512.7,UROK,None,PRIJEM,B
5428,14,05,93,30800.0,53712.7,None,VYBER,VYDAJ,B
5428,29,05,93,23151.0,76863.7,None,VKLAD,PRIJEM,B
5428,31,05,93,345.3,105628.0,UROK,None,PRIJEM,B
5428,31,05,93,28419.0,105282.7,None,VKLAD,PRIJEM,B
5428,31,05,93,52600.0,53028.0,None,VYBER,VYDAJ,B
5428,05,06,93,5768.0,58796.0,None,VKLAD,PRIJEM,B
5428,13,06,93,4600.0,54196.0,SIPO,VYBER,VYDAJ,B
5428,13,06,93,10700.0,43496.0,None,VYBER,VYDAJ,B
5428,13,06,93,9200.0,34296.0,None,VYBER,VYDAJ,B
5428,29,06,93,7800.0,26496.0,None,VYBER,VYDAJ,B
5428,30,06,93,192.4,26688.4,UROK,None,PRIJEM,B
5428,30,06,93,14.6,26673.8,SLUZBY,VYBER,VYDAJ,B
5428,08,07,93,8834.0,17839.8,None,VYBER,VYBER,B
5428,12,07,93,5200.0,12639.8,SIPO,VYBER,VYDAJ,B
5428,13,07,93,5500.0,18139.8,None,VKLAD,PRIJEM,B
5428,24,07,93,8900.0,9239.8,None,VYBER,VYDAJ,B
5428,31,07,93,77.8,9317.7,UROK,None,PRIJEM,B
5428,31,07,93,14.6,9303.1,SLUZBY,VYBER,VYDAJ,B
5428,12,08,93,4100.0,16503.1,SIPO,VYBER,VYDAJ,B
5428,12,08,93,11300.0,20603.1,None,VKLAD,PRIJEM,B
5428,14,08,93,13370.0,29873.1,None,VKLAD,PRIJEM,B
5428,26,08,93,3379.0,26494.1,None,VYBER,VYBER,B
5428,30,08,93,5000.0,21494.1,None,VYBER,VYDAJ,B
5428,31,08,93,86.4,21580.5,UROK,None,PRIJEM,B
5428,31,08,93,14.6,21565.9,SLUZBY,VYBER,VYDAJ,B
5428,05,09,93,4700.0,16865.9,SIPO,VYBER,VYDAJ,B
5428,11,09,93,1100.0,17965.9,None,VKLAD,PRIJEM,B
5428,21,09,93,40175.0,58140.9,None,VKLAD,PRIJEM,B
10973,20,04,93,8897.0,8897.0,None,VKLAD,PRIJEM,A
10973,20,04,93,400.0,9297.0,None,VKLAD,PRIJEM,A
10973,30,04,93,13.6,9310.6,UROK,None,PRIJEM,A
10973,03,05,93,25724.0,35034.6,None,VKLAD,PRIJEM,A
10973,15,05,93,25060.0,60094.6,None,VKLAD,PRIJEM,A
10973,20,05,93,19200.0,40894.6,None,VYBER,VYDAJ,A
10973,31,05,93,123.1,41017.7,UROK,None,PRIJEM,A
10973,10,06,93,17624.0,58641.7,None,VKLAD,PRIJEM,A
10973,19,06,93,16200.0,42441.7,None,VYBER,VYDAJ,A
10973,29,06,93,39098.0,81539.7,None,VKLAD,PRIJEM,A
10973,30,06,93,30.0,81693.5,SLUZBY,VYBER,VYDAJ,A
10973,30,06,93,183.9,81723.5,UROK,None,PRIJEM,A
10973,04,07,93,9000.0,72693.5,None,VYBER,VYDAJ,A
10973,09,07,93,3700.0,68993.5,None,VYBER,VYDAJ,A
10973,10,07,93,14477.0,54516.5,None,VYBER,VYBER,A
10973,19,07,93,13800.0,40716.5,None,VYBER,VYDAJ,A
10973,31,07,93,30.0,40920.8,SLUZBY,VYBER,VYDAJ,A
10973,31,07,93,234.2,40950.8,UROK,None,PRIJEM,A
10973,11,08,93,29103.0,70023.8,None,VKLAD,PRIJEM,A
10973,13,08,93,14400.0,55623.8,None,VYBER,VYDAJ,A
10973,18,08,93,15800.0,36523.8,None,VYBER,VYDAJ,A
10973,18,08,93,3300.0,52323.8,None,VYBER,VYDAJ,A
10973,31,08,93,30.0,36693.5,SLUZBY,VYBER,VYDAJ,A
10973,31,08,93,199.8,36723.5,UROK,None,PRIJEM,A
10973,14,09,93,3900.0,20149.5,None,VYBER,VYDAJ,A
10973,14,09,93,12644.0,24049.5,None,VYBER,VYBER,A
10973,17,09,93,4000.0,24149.5,None,VKLAD,PRIJEM,A
10973,21,09,93,7902.0,55865.5,None,VKLAD,PRIJEM,A
10973,21,09,93,23814.0,47963.5,None,VKLAD,PRIJEM,A
10973,30,09,93,30.0,56002.7,SLUZBY,VYBER,VYDAJ,A
10973,30,09,93,167.2,56032.7,UROK,None,PRIJEM,A
10973,08,10,93,2600.0,53402.7,None,VYBER,VYDAJ,A
4894,20,06,93,800.0,800.0,None,VKLAD,PRIJEM,A
4894,12,07,93,29255.0,30055.0,None,PREVOD Z UCTU,PRIJEM,A
4894,20,07,93,2100.0,27955.0,None,VYBER,VYDAJ,A
4894,31,07,93,45.1,28000.1,UROK,None,PRIJEM,A
4894,12,08,93,29255.0,57255.1,None,PREVOD Z UCTU,PRIJEM,A
4894,19,08,93,16700.0,40555.1,None,VYBER,VYDAJ,A
4894,31,08,93,138.5,40693.6,UROK,None,PRIJEM,A
4894,12,09,93,29255.0,69948.6,None,PREVOD Z UCTU,PRIJEM,A
4894,18,09,93,22400.0,47548.6,None,VYBER,VYDAJ,A
4894,30,09,93,181.6,47730.2,UROK,None,PRIJEM,A
4894,12,10,93,29255.0,76985.2,None,PREVOD Z UCTU,PRIJEM,A
4894,18,10,93,24000.0,52985.2,None,VYBER,VYDAJ,A
4894,31,10,93,208.3,53193.5,UROK,None,PRIJEM,A
10364,17,01,93,1100.0,1100.0,None,VKLAD,PRIJEM,A
10364,07,02,93,14493.0,15593.0,None,VKLAD,PRIJEM,A
10364,16,02,93,4200.0,19793.0,None,VKLAD,PRIJEM,A
10364,28,02,93,38.3,19831.3,UROK,None,PRIJEM,A
10364,07,03,93,14493.0,34324.3,None,VKLAD,PRIJEM,A
